batsman,total_matches,total_runs,total_balls,total_fours,total_sixes,total_outs,total_30_plus,avg_runs,avg_strike_rate,boundary_freq,consistency_30_plus,dismissal_rate,position_preference,position_label
DP Conway,22,924,669,100,30,19,14,42.0,138.11659192825113,0.19431988041853512,0.6363636363636364,0.8636363636363636,2,Opener
DR Sams,13,44,48,1,3,9,0,3.3846153846153846,91.66666666666666,0.08333333333333333,0.0,0.6923076923076923,3,Anchor
DS Kulkarni,1,3,2,0,0,0,0,3.0,150.0,0.0,0.0,0.0,10,Finisher
DT Christian,7,14,24,1,0,4,0,2.0,58.333333333333336,0.041666666666666664,0.0,0.5714285714285714,7,Finisher
DW Steyn,1,1,2,0,0,0,0,1.0,50.0,0.0,0.0,0.0,10,Finisher
Dhruv Jurel,22,347,237,29,16,13,5,15.772727272727273,146.41350210970467,0.189873417721519,0.22727272727272727,0.5909090909090909,5,Middle-order
E Lewis,10,224,156,26,10,8,3,22.4,143.5897435897436,0.23076923076923078,0.3,0.8,4,Middle-order
EJG Morgan,29,552,456,40,30,21,9,19.03448275862069,121.05263157894737,0.15350877192982457,0.3103448275862069,0.7241379310344828,7,Finisher
F du Plessis,74,2718,1936,259,107,66,38,36.729729729729726,140.39256198347107,0.1890495867768595,0.5135135135135135,0.8918918918918919,3,Anchor
FA Allen,3,14,19,1,0,2,0,4.666666666666667,73.68421052631578,0.05263157894736842,0.0,0.6666666666666666,7,Finisher
Fazalhaq Farooqi,2,3,13,0,0,0,0,1.5,23.076923076923077,0.0,0.0,0.0,10,Finisher
G Coetzee,5,14,22,0,1,4,0,2.8,63.63636363636363,0.045454545454545456,0.0,0.8,9,Finisher
GD Phillips,8,65,55,3,6,7,0,8.125,118.18181818181819,0.16363636363636364,0.0,0.875,6,Finisher
GHS Garton,2,2,4,0,0,1,0,1.0,50.0,0.0,0.0,0.5,8,Finisher
GJ Maxwell,61,1374,940,123,69,49,19,22.524590163934427,146.17021276595744,0.20425531914893616,0.3114754098360656,0.8032786885245902,4,Middle-order
Gulbadin Naib,1,19,15,1,1,1,0,19.0,126.66666666666666,0.13333333333333333,0.0,1.0,7,Finisher
Gurkeerat Singh,5,71,83,8,0,0,0,14.2,85.54216867469879,0.0963855421686747,0.0,0.0,3,Anchor
H Klaasen,26,927,555,51,63,21,14,35.65384615384615,167.02702702702703,0.20540540540540542,0.5384615384615384,0.8076923076923077,4,Middle-order
HC Brook,11,190,159,23,4,9,1,17.272727272727273,119.49685534591194,0.16981132075471697,0.09090909090909091,0.8181818181818182,1,Opener
HE van der Dussen,3,22,25,2,0,2,0,7.333333333333333,88.0,0.08,0.0,0.6666666666666666,7,Finisher
HH Pandya,67,1459,1078,117,68,49,19,21.776119402985074,135.34322820037104,0.17161410018552875,0.2835820895522388,0.7313432835820896,3,Anchor
HR Shokeen,5,66,67,9,0,3,0,13.2,98.50746268656717,0.13432835820895522,0.0,0.6,6,Finisher
HV Patel,22,142,140,13,6,15,1,6.454545454545454,101.42857142857142,0.1357142857142857,0.045454545454545456,0.6818181818181818,7,Finisher
Harbhajan Singh,2,4,4,0,0,0,0,2.0,100.0,0.0,0.0,0.0,9,Finisher
Harpreet Brar,23,213,187,17,8,11,0,9.26086956521739,113.90374331550801,0.13368983957219252,0.0,0.4782608695652174,7,Finisher
Harpreet Singh,5,103,93,10,3,4,1,20.6,110.75268817204301,0.13978494623655913,0.2,0.8,5,Middle-order
Harshit Rana,3,2,3,0,0,2,0,0.6666666666666666,66.66666666666666,0.0,0.0,0.6666666666666666,11,Finisher
I Sharma,3,2,9,0,0,0,0,0.6666666666666666,22.22222222222222,0.0,0.0,0.0,11,Finisher
I Udana,4,15,11,1,1,3,0,3.75,136.36363636363635,0.18181818181818182,0.0,0.75,7,Finisher
Imran Tahir,1,13,10,2,0,0,0,13.0,130.0,0.2,0.0,0.0,10,Finisher
Ishan Kishan,66,1949,1445,191,85,60,29,29.53030303030303,134.87889273356402,0.19100346020761247,0.4393939393939394,0.9090909090909091,2,Opener
J Fraser-McGurk,9,330,150,32,28,8,4,36.666666666666664,220.00000000000003,0.4,0.4444444444444444,0.8888888888888888,3,Anchor
J Suchith,3,16,14,2,1,2,0,5.333333333333333,114.28571428571428,0.21428571428571427,0.0,0.6666666666666666,9,Finisher
J Yadav,2,34,26,2,1,2,0,17.0,130.76923076923077,0.11538461538461539,0.0,1.0,8,Finisher
JA Richardson,3,17,27,2,0,3,0,5.666666666666667,62.96296296296296,0.07407407407407407,0.0,1.0,7,Finisher
JC Archer,12,117,70,5,10,6,0,9.75,167.14285714285714,0.21428571428571427,0.0,0.5,6,Finisher
JC Buttler,61,2196,1566,216,100,55,26,36.0,140.22988505747128,0.20178799489144317,0.4262295081967213,0.9016393442622951,5,Middle-order
JD Unadkat,15,142,116,10,6,7,0,9.466666666666667,122.41379310344827,0.13793103448275862,0.0,0.4666666666666667,9,Finisher
JDS Neesham,7,50,47,3,1,5,0,7.142857142857143,106.38297872340425,0.0851063829787234,0.0,0.7142857142857143,8,Finisher
JE Root,1,10,15,1,0,1,0,10.0,66.66666666666666,0.06666666666666667,0.0,1.0,4,Middle-order
JJ Bumrah,16,33,41,3,0,3,0,2.0625,80.48780487804879,0.07317073170731707,0.0,0.1875,10,Finisher
JJ Roy,13,435,321,57,13,13,8,33.46153846153846,135.5140186915888,0.21806853582554517,0.6153846153846154,1.0,5,Middle-order
JL Pattinson,2,15,13,2,0,1,0,7.5,115.38461538461537,0.15384615384615385,0.0,0.5,8,Finisher
JM Bairstow,40,1144,840,118,51,37,15,28.6,136.1904761904762,0.2011904761904762,0.375,0.925,1,Opener
JM Sharma,36,730,501,53,45,32,8,20.27777777777778,145.70858283433134,0.19560878243512975,0.2222222222222222,0.8888888888888888,5,Middle-order
JO Holder,22,221,185,9,16,16,1,10.045454545454545,119.45945945945947,0.13513513513513514,0.045454545454545456,0.7272727272727273,6,Finisher
JP Behrendorff,2,6,9,0,0,0,0,3.0,66.66666666666666,0.0,0.0,0.0,10,Finisher
JR Hazlewood,6,19,29,1,0,0,0,3.1666666666666665,65.51724137931035,0.034482758620689655,0.0,0.0,11,Finisher
JR Philippe,5,78,80,9,1,4,2,15.6,97.5,0.125,0.4,0.8,1,Opener
K Gowtham,10,103,73,5,7,6,0,10.3,141.0958904109589,0.1643835616438356,0.0,0.6,7,Finisher
K Kartikeya,2,9,13,1,0,2,0,4.5,69.23076923076923,0.07692307692307693,0.0,1.0,10,Finisher
K Rabada,21,137,124,11,6,9,0,6.523809523809524,110.48387096774192,0.13709677419354838,0.0,0.42857142857142855,8,Finisher
K Yadav,1,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,Finisher
KA Jamieson,7,65,55,5,3,3,0,9.285714285714286,118.18181818181819,0.14545454545454545,0.0,0.42857142857142855,7,Finisher
KA Maharaj,1,1,2,0,0,1,0,1.0,50.0,0.0,0.0,1.0,8,Finisher
KA Pollard,36,670,483,39,47,24,6,18.61111111111111,138.71635610766046,0.17805383022774326,0.16666666666666666,0.6666666666666666,5,Middle-order
KD Karthik,71,1188,798,109,60,46,13,16.732394366197184,148.87218045112783,0.21177944862155387,0.18309859154929578,0.647887323943662,7,Finisher
KH Pandya,61,756,652,58,26,39,7,12.39344262295082,115.95092024539878,0.12883435582822086,0.11475409836065574,0.639344262295082,4,Middle-order
KK Ahmed,4,1,6,0,0,4,0,0.25,16.666666666666664,0.0,0.0,1.0,10,Finisher
KK Nair,5,32,32,3,0,4,0,6.4,100.0,0.09375,0.0,0.8,5,Middle-order
KL Nagarkoti,7,22,34,1,0,4,0,3.142857142857143,64.70588235294117,0.029411764705882353,0.0,0.5714285714285714,8,Finisher
KL Rahul,64,2712,2113,224,106,54,34,42.375,128.3483199242783,0.15617605300520587,0.53125,0.84375,1,Opener
KM Asif,1,0,2,0,0,1,0,0.0,0.0,0.0,0.0,1.0,10,Finisher
KM Jadhav,11,129,133,10,2,7,0,11.727272727272727,96.99248120300751,0.09022556390977443,0.0,0.6363636363636364,5,Middle-order
KR Mayers,13,379,276,38,22,13,5,29.153846153846153,137.31884057971016,0.21739130434782608,0.38461538461538464,1.0,2,Opener
KR Sen,1,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11,Finisher
